segment,operator,country_or_region,aircraft_type,engine_family,aircraft_in_service,estimated_engines_in_service,coverage,source_id,snapshot_date
Commercial Airline,Porter Airlines,Canada,Airbus A330-900,7000,44,88,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Delta Air Lines,United States,Airbus A330-900,7000,33,66,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,STARLUX Airlines,Taiwan,Airbus A330-900,7000,28,56,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,TAP Air Portugal,Portugal,Airbus A330-900,7000,21,42,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Virgin Atlantic,United Kingdom,Airbus A330-900,7000,19,38,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Condor,Germany,Airbus A330-900,7000,18,36,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Norse Atlantic Airways,Norway,Airbus A330-900,7000,17,34,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Cebu Pacific,Philippines,Airbus A330-900,7000,11,22,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,ITA Airways,Italy,Airbus A330-900,7000,11,22,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Corsair International,France,Airbus A330-900,7000,9,18,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Garuda Indonesia,Indonesia,Airbus A330-900,7000,8,16,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Kuwait Airways,Kuwait,Airbus A330-800/900,7000,8,16,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Lion Air,Indonesia,Airbus A330-900,7000,8,16,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Evelop Airlines,Spain,Airbus A330-900,7000,6,12,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Neos,Italy,Airbus A330-900,7000,6,12,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Hi Fly,Portugal,Airbus A330-900,7000,5,10,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Iberojet,Spain,Airbus A330-900,7000,5,10,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Utair,Russia,Airbus A330-900,7000,3,6,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Air Belgium,Belgium,Airbus A330-900,7000,2,4,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Uganda Airlines,Uganda,Airbus A330-800,7000,2,4,table_row,WIKI_A330NEO,2026-01-31
Commercial Airline,Delta Air Lines,United States,Airbus A350 Family,XWB,37,74,operator_table_row,WIKI_A350_OPERATORS,2026-02-28
Commercial Airline,Air France,France,Airbus A350 Family,XWB,38,76,operator_table_row,WIKI_A350_OPERATORS,2026-02-28
